"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"ussr_t_34E/green_ltbrown_lines";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";;
"ussr_t_34E/green_ltbrown_lines/desc";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";"Non-Standard Soviet Army Bicolor Summer camouflage";;
"us_m4_sherman/hurricane";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";"<color=#CCA43B>«Hurricane» camouflage</color>";;
"us_m4_sherman/hurricane/desc";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";"«Hurricane», M4 S/N 3033967, 2nd Armored Division, 66th Armored Regiment, H Company, June 1944.";;
"typhoon_mk1b_late/invade";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";"<color=#CCA43B>Lodewijk Geerts' camouflage</color>";;
"typhoon_mk1b_late/invade/desc";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";"Lodewijk Geerts' Typhoon F Ib S/N MN131, 2nd Tactical Air Force, No.83 (Composite) Group, No.123 (Rocket Projectile) Wing, No.609 Squadron, June 1944.";;
"fj_4b_agm_12b/vu_7";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";"VU-7 camouflage";;
"fj_4b_agm_12b/vu_7/desc";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";"Standard High-Visibility Squadron camouflage, FJ-4B S/N 139290, VU-7 Redtails, 1959.";;
"f-86f-25/usaaf_glenn";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";"<color=#CCA43B>«MiG Mad Marine» camouflage</color>";;
"f-86f-25/usaaf_glenn/desc";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";"«MiG Mad Marine», F-86F-30 S/N 52-4584, Pacific Air Forces, 51st Fighter Interceptor Wing, 1953.";;
"ussr_is_7/dkgreen_ltgreen_brown";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";"Summer camouflage";;
"ussr_is_7/dkgreen_ltgreen_brown/desc";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";"Non-Standard Soviet Army Tricolor Summer camouflage";;
