"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>";
"country_greece";"Greece";"Grèce";"Grecia";"Griechenland";"Grecia";"Греция";"Grecja";"Řecko";"Yunanistan";"希\t腊";"ギリシャ";"Grécia";"Греція";"Grčka";"Görögország";"그리스";"Грэцыя";"Grecia";"希\t臘";"希";"Hy Lạp";;
"country_greece_modern";"Greece";"Grèce";"Grecia";"Griechenland";"Grecia";"Греция";"Grecja";"Řecko";"Yunanistan";"希\t腊";"ギリシャ";"Grécia";"Греція";"Grčka";"Görögország";"그리스";"Грэцыя";"Greece";"希\t臘";"Greece";"Hy Lạp";;
"country_hungary";"Hungary";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Węgry";"Maďarsko";"Macaristan";"匈\t牙\t利";"ハンガリー";"Hungria";"Угорщина";"Mađarska";"Magyarország";"헝가리";"Вугоршчына";"Ungaria";"匈\t牙\t利";"匈\t牙\t利";"Hungary";;
"country_hungary_modern";"Hungary";"Hongrie";"Ungheria";"Ungarn";"Hungría";"Венгрия";"Węgry";"Maďarsko";"Macaristan";"匈\t牙\t利";"ハンガリー";"Hungria";"Угорщина";"Mađarska";"Magyarország";"헝가리";"Вугоршчына";"Hungary";"匈\t牙\t利";"Hungary";"Hungary";;
"country_iraq";"Iraq";"Irak";"Iraq";"Irak";"Irak";"Ирак";"Irak";"Irák";"Irak";"伊\t拉\t克";"イラク";"Iraque";"Ірак";"Irak";"Irak";"이라크";"Ірак";"Irak";"伊\t拉\t克";"伊\t拉\t克";"Iraq";;
"country_netherlands";"Netherlands";"Pays-Bas";"Paesi Bassi";"Niederlande";"Países Bajos";"Нидерланды";"Holandia";"Nizozemsko";"Hollanda";"荷\t兰";"オランダ";"Holanda";"Нідерланди";"Holandija";"Hollandia";"네덜란드";"Нідэрланды";"Olanda";"荷\t蘭";"荷\t兰";"Hà Lan";;
"country_new_zealand";"New Zealand";"Nouvelle Zélande";"Nuova Zelanda";"Neuseeland";"Nueva Zelanda";"Новая Зеландия";"Nowa Zelandia";"Nový Zéland";"Yeni Zelanda";"新\t西\t兰";"ニュージーランド";"Nova Zelândia";"Нова Зеландія";"Novi Zeland";"Új-Zéland";"뉴질랜드";"Новая Зеландыя";"Noua Zeelandă";"紐\t西\t蘭";"新\t西\t兰";"New Zealand";;
"country_norway";"Norway";"Norvège";"Norvegia";"Norwegen";"Noruega";"Норвегия";"Norwegia";"Norsko";"Norveç";"挪\t威";"ノルウェー";"Noruega";"Норвегія";"Norveška";"Norvégia";"노르웨이";"Нарвегія";"Norvegia";"挪\t威";"挪\t威";"Na Uy";;
"country_poland";"Poland";"Pologne";"Polonia";"Polen";"Polonia";"Польша";"Polska";"Polsko";"Polonya";"波\t兰";"ポーランド";"Polónia";"Польща";"Poljska";"Lengyelország";"폴란드";"Польшча";"Polonia";"波\t蘭";"波";"Ba Lan";;
"country_romania";"Romania";"Roumanie";"Romania";"Rumänien";"Rumania";"Румыния";"Rumunia";"Rumunsko";"Romanya";"罗\t马\t尼\t亚";"ルーマニア";"Roménia";"Румунія";"Rumunija";"Románia";"루마니아";"Румынія";"România";"羅\t馬\t尼\t亞";"罗\t马\t尼\t亚";"Romania";;
"country_south_africa";"South Africa";"Afrique du Sud";"Sud Africa";"Südafrika";"Sudáfrica";"Южная Африка";"Południowa Afryka";"Jižní Afrika";"Güney Afrika";"南\t非";"南\tアフリカ";"África do Sul";"ПАР";"Južna Afrika";"Dél-Afrika";"남아프리카 공화국";"Паўднёвая Афрыка";"Africa de Sud";"南\t非";"南\t非";"Nam Phi";;
"country_thailand";"Thailand";"Thaïlande";"Tailandia";"Thailand";"Tailandia";"Таиланд";"Tajlandia";"Thajsko";"Tayland";"泰\t国";"タイ";"Tailândia";"Таїланд";"Tajland";"Thaiföld";"태국";"Тайланд";"Tailanda";"泰\t國";"泰\t国";"Thái Lan";;
"country_yugoslavia";"Yugoslavia";"Yougoslavie";"Jugoslavia";"Jugoslawien";"Yugoslavia";"Югославия";"Jugosławia";"Jugoslávie";"Yugoslavya";"南\t斯\t拉\t夫";"ユーゴスラビア";"Jugoslávia";"Югославія";"Jugoslavija";"Jugoszlávia";"유고슬라비아";"Югаславія";"Iugoslavia";"南\t斯\t拉\t夫";"南\t斯\t拉\t夫";"Nam Tư";;
"country_korea";"North Korea";"Corée du nord";"Corea del Nord";"Nordkorea";"Corea del Norte";"КНДР";"Korea Północna";"Severní Korea";"Kuzey Kore";"朝\t鲜";"北朝鮮";"Coreia do Norte";"КНДР";"Severna Koreja";"Észak-Korea";"북한";"КНДР";"Coreea de Nord";"北\t韓";"北\tCX";"Triều Tiên";;
"country_usa_modern";"U.S.A.";"USA";"USA";"USA";"EEUU";"США";"Stany Zjednoczone";"USA";"ABD";"美\t国";"アメリカ";"EUA";"США";"SAD";"USA";"미국";"ЗША";"USA";"美\t國";"A\t系";"Hoa Kỳ";;
"country_usa";"U.S.A.";"USA";"USA";"USA";"EEUU";"США";"Stany Zjednoczone";"USA";"ABD";"美\t国";"アメリカ";"EUA";"США";"SAD";"USA";"미국";"ЗША";"USA";"美\t國";"A\t系";"Hoa Kỳ";;
"country_germany_modern";"Federal Republic of Germany";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Niemcy";"Německo";"Almanya";"德\t国";"ドイツ";"Alemanha";"Німеччина";"Nemačka";"Németország";"독일";"Нямеччына";"Germany";"德\t國";"D 系";"Đức";;
"country_germany";"Greater German Empire";"Allemagne";"Germania";"Deutschland";"Alemania";"Германия";"Niemcy";"Německo";"Almanya";"德\t国";"ドイツ";"Alemanha";"Німеччина";"Nemačka";"Németország";"독일";"Нямеччына";"Germany";"德\t國";"D 系";"Đức";;
"country_russia";"Russia";"Russie";"Russia";"Russland";"Rusia";"Россия";"Rosja";"Rusko";"Rusya";"俄\t罗\t斯";"ロシア";"Rússia";"РФ";"Rusija";"Oroszország";"러시아";"Расея";"Russia";"俄\t羅\t斯";"S 系";"Nga";;
"country_ussr";"U.S.S.R.";"Russie";"USSR";"Russland";"Rusia";"Россия";"Rosja";"Rusko";"Rusya";"俄\t罗\t斯";"ロシア";"Rússia";"РФ";"Rusija";"Oroszország";"러시아";"Расея";"USSR";"俄\t羅\t斯";"S 系";"Nga";;
"country_italy_kingdom";"Kingdom of Italy";"Royaume d'Italie";"Regno d'Italia";"Königreich Italien";"Reino de Italia";"Королевство Италия";"Królestwo Włoch";"Království Itálie";"İtalya Kralllığı";"意\t大\t利\t王\t国";"イタリア\t王国";"Reino da Itália";"Королівство Італія";"Kraljevina Italija";"Olasz Királyság";"이탈리아 왕국";"Каралеўства Італія";"Kingdom of Italy";"義\t大\t利\t王\t國";"Kingdom of Italy";"Vương quốc Ý";;
"country_portugal";"Portugal";"Portugal";"Portogallo";"Portugal";"Portugal";"Португалия";"Portugalia";"Portugalsko";"Portekiz";"葡\t萄\t牙";"ポルトガル";"Portugal";"Португалія";"Portugal";"Portugália";"포르투갈";"Партугалія";"Portugal";"葡\t萄\t牙";"Portugal";"Bồ Đào Nha";;
"country_syria";"Syria";"Syrie";"Siria";"Syrien";"Siria";"Сирия";"Syria";"Sýrie";"Suriye";"叙\t利\t亚";"シリア";"Síria";"Сирія";"Sirija";"Szíria";"시리아";"Сірыя";"Syria";"敘\t利\t亞";"Syria";"Syria";;
"country_canada_modern";"Canada";"Canada";"Canada";"Kanada";"Canadá";"Канада";"Kanada";"Kanada";"Kanada";"加\t拿\t大";"カナダ";"Canadá";"Канада";"Kanada";"Kanada";"캐나다";"Канада";"Canada";"加\t拿\t大";"Canada";"Canada";;
"country_argentina";"Argentina";"Argentine";"Argentina";"Argentinien";"Argentina";"Аргентина";"Argentyna";"Argentina";"Arjantin";"阿\t根\t廷";"アルゼンチン";"Argentina";"Аргентина";"Argentina";"Argentína";"아르헨티나";"Аргентына";"Argentina";"阿\t根\t廷";"Argentina";"Argentina";;
"country_south_africa_modern";"South Africa";"Afrique du Sud";"Sud Africa";"Südafrika";"Sudáfrica";"ЮАР";"Republika Południowej Afryki";"Jižní Afrika";"Güney Afrika";"南\t非";"南\tアフリカ";"África do Sul";"Південна Африка";"Južna Afrika";"Dél-Afrika";"남아프리카 공화국";"Паўднёвая Афрыка";"South Africa";"南\t非";"South Africa";"Nam Phi";;
"country_vietnam";"Vietnam";"Viêtnam";"Vietnam";"Vietnam";"Vietnam";"Вьетнам";"Wietnam";"Vietnam";"Vietnam";"越\t南";"ベトナム";"Vietname";"В'єтнам";"Vijetnam";"Vietnám";"베트남";"В'етнам";"Vietnam";"越\t南";"Vietnam";"Việt Nam";;
"country_turkey";"Turkey";"Turquie";"Turchia";"Türkei";"Turquía";"Турция";"Turcja";"Turecko";"Türkiye";"土\t耳\t其";"トルコ";"Turquia";"Туреччина";"Turska";"Törökország";"튀르키예";"Турэччына";"Turkey";"土\t耳\t其";"Turkey";"Thổ Nhĩ Kỳ";;
"country_cuba";"Cuba";"Cuba";"Cuba";"Kuba";"Cuba";"Куба";"Kuba";"Kuba";"Küba";"古\t巴";"キューバ";"Cuba";"Куба";"Kuba";"Kuba";"쿠바";"Куба";"Cuba";"古\t巴";"Cuba";"Cuba";;
"country_philippines";"Philippines";"Philippines";"Filippine";"Philippinen";"Filipinas";"Филиппины";"Filipiny";"Filipíny";"Filipinler";"菲\t律\t宾";"フィリピン";"Filipinas";"Філіппіни";"Filipini";"Fülöp-szigetek";"필리핀";"Філіпіны";"Philippines";"菲\t律\t賓";"Philippines";"Philippines";;
"country_czech";"Czech Republic";"République tchèque";"Repubblica Ceca";"Tschechische Republik";"República Checa";"Чехия";"Republika Czeska";"Česko";"Çek Cumhuriyeti";"捷\t克\t共\t和\t国";"チェコ\t共和国";"República Checa";"Чехія";"Češka Republika";"Cseh Köztársaság";"체코";"Чэхія";"Czech Republic";"捷\t克\t共\t和\t國";"Czech";"Cộng hoà Séc";;
"country_gdr";"German Democratic Republic";"RDA";"GDR";"DDR";"RDA";"ГДР";"NRD";"DDR";"Doğu Almanya";"德\t意\t志\t民\t主\t共\t和\t国";"ドイツ\t民主共和国";"República Democrática Alemã";"НДР";"NDR";"Kelet-Németország";"동독";"НДР";"GDR";"東\t德";"GDR";"GDR";;
"country_north_korea";"Democratic People's Republic of Korea";"Corée du nord";"Corea del Nord";"Nordkorea";"Corea del Norte";"КНДР";"Korea Północna";"Severní Korea";"Kuzey Kore";"朝\t鲜";"朝鮮民主主義人民共和国";"Coreia do Norte";"Північна Корея";"Severna Koreja";"Észak-Korea";"북한";"Паўночная Карэя";"North Korea";"北\t韓";"North Korea";"Bắc Triều tiên";;
"country_south_korea";"Republic of Korea";"République de Corée";"Repubblica di Corea";"Republik Korea";"República de Corea";"Республика Корея";"Republika Korei";"Korejská republika";"Kore Cumhuriyeti";"韩\t国";"韓国";"República da Coreia";"Південна Корея";"Republic of Korea";"Republic of Korea";"대한민국";"Республика Корея";"Republic of Korea";"韓\t國";"Republic of Korea";"Hàn Quốc";;
"country_bangladesh";"Bangladesh";"Bangladesh";"Bangladesh";"Bangladesch";"Bangladés";"Бангладеш";"Bangladesz";"Bangladéš";"Bangladeş";"孟\t加\t拉\t国";"バングラデシュ";"Bangladesh";"Бангладеш";"Bangladeš";"Banglades";"방글라데시";"Бангладэш";"Bangladesh";"孟\t加\t拉";"Bangladesh";"Bangladesh";;
"country_china";"People's Republic of China";"République de Chine";"Repubblica Cinese";"Republik China";"República de China";"Китайская Республика";"Republika Chińska";"Republika Čína";"Çin Cumhuriyeti";"中\t国";"中華民国";"República da China";"Китайська Республіка";"Republika Kina ";"Kínai Köztársaság";"중화민국";"Кітайская Рэспубліка";"Republic China";"中\t華\t民\t國";"Republic China";"Trung Hoa Dân Quốc";;
"country_republic_china";"Republic of China";"République de Chine";"Repubblica Cinese";"Republik China";"República de China";"Китайская Республика";"Republika Chińska";"Republika Čína";"Çin Cumhuriyeti";"中\t国";"中華民国";"República da China";"Китайська Республіка";"Republika Kina ";"Kínai Köztársaság";"중화민국";"Кітайская Рэспубліка";"Republic China";"中\t華\t民\t國";"Republic China";"Trung Hoa Dân Quốc";;
"country_pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistan";"Pakistán";"Пакистан";"Pakistan";"Pákistán";"Pakistan";"巴\t基\t斯\t坦";"パキスタン";"Paquistão";"Пакистан";"Pakistan";"Pakisztán";"파키스탄";"Пакістан";"Pakistan";"巴\t基\t斯\t坦";"Pakistan";"Pakistan";;
"country_ireland";"Ireland";"Irlande";"Irlanda";"Irland";"Irlanda";"Ирландия";"Irlandia";"Irsko";"İrlanda";"爱\t尔\t兰";"アイルランド";"Irlanda";"Ірландія";"Irska";"Írország";"아일랜드";"Ірландыя";"Ireland";"愛\t爾\t蘭";"Ireland";"Ireland";;
"country_slovakia";"Slovakia";"Slovaquie";"Slovacchia";"Slowakei";"Eslovaquia";"Словакия";"Słowacja";"Slovensko";"Slovakya";"斯\t洛\t伐\t克";"スロバキア";"Eslováquia";"Словаччина";"Slovačka";"Szlovákia";"슬로바키아";"Славакія";"Slovakia";"斯\t洛\t伐\t克";"Slovakia";"Slovakia";;
"country_saudi_arabia";"Saudi Arabia";"Arabie saoudite";"Arabia Saudita";"Saudi-Arabien";"Arabia Saudí";"Саудовская Аравия";"Arabia Saudyjska";"Saúdská Arábie";"Suudi Arabistan";"沙\t特\t阿\t拉\t伯";"サウジアラビア";"Arábia Saudita";"Саудівська Аравія";"Saudijska Arabija";"Szaúd-Arábia";"사우디아라비아";"Саудаўская Аравія";"Saudi Arabia";"沙\t烏\t地\t阿\t拉\t伯";"Saudi Arabia";"Ả Rập Saudi";;
"country_spain";"Spain";"Espagne";"Spagna";"Spanien";"España";"Испания";"Hiszpania";"Španělsko";"İspanya";"西\t班\t牙";"スペイン";"Espanha";"Іспанія";"Španija";"Spanyolország";"스페인";"Іспанія";"Spain";"西\t班\t牙";"Spain";"Tây Ban Nha";;
"country_japan";"Japan";"Russie";"Japan";"Russland";"Rusia";"Россия";"Rosja";"Rusko";"Rusya";"俄\t罗\t斯";"ロシア";"Rússia";"РФ";"Rusija";"Oroszország";"러시아";"Расея";"Japan";"俄\t羅\t斯";"S 系";"Nga";;
"country_jordan";"Jordan";"Jordanie";"Giordania";"Jordanien";"Jordania";"Иордания";"Jordania";"Jordán";"Ürdün";"约\t旦";"ヨルダン";"Jordânia";"Йорданія";"Jordan";"Jordánia";"요르단";"Іарданія";"Jordan";"約\t旦";"Jordan";"Jordan";;
"country_britain";"Great Britain";"Russie";"Great Britain";"Russland";"Rusia";"Россия";"Rosja";"Rusko";"Rusya";"俄\t罗\t斯";"ロシア";"Rússia";"РФ";"Rusija";"Oroszország";"러시아";"Расея";"Great Britain";"俄\t羅\t斯";"S 系";"Nga";;
"country_britain_empire_navy";"Great Britain";"Empire britannique";"Impero Britannico";"British Empire";"Imperio Británico";"Британская империя";"Imperium Brytyjskie";"Britské impérium";"Britanya İmparatorluğu";"大\t不\t列\t颠\t帝\t国";"大英帝国";"Império Britânico";"Британська імперія";"Britanska Imperija";"Brit Birodalom";"대영제국";"Брытанская імперыя";"British Empire";"大\t英\t帝\t國";"British Empire";"Đế chế Anh Quốc";;
"country_russia_empire_navy";"Russian Empire";"Empire russe";"Impero Russo";"Russisches Kaiserreich";"Imperio Ruso";"Российская империя";"Imperium Rosyjskie";"Ruské impérium";"Rus İmparatorluğu";"俄\t罗\t斯\t帝\t国";"ロシア\t帝国";"Império Russo";"Російська імперія";"Ruska Imperija";"Orosz Birodalom";"러시아 제국";"Расійская імперыя";"Russian Empire";"俄\t羅\t斯\t帝\t國";"Russian Empire";"Đế chế Nga";;
"country_russia_empire";"Russian Empire";"Empire russe";"Impero Russo";"Russisches Kaiserreich";"Imperio Ruso";"Российская империя";"Imperium Rosyjskie";"Ruské impérium";"Rus İmparatorluğu";"俄\t罗\t斯\t帝\t国";"ロシア\t帝国";"Império Russo";"Російська імперія";"Russian Empire";"Russian Empire";"러시아 제국";"Российская империя";"Russian Empire";"俄\t羅\t斯\t帝\t國";"Russian Empire";"Đế chế Nga";;
"country_germany_empire_navy";"German Empire";"Empire allemand";"Impero Tedesco";"Deutsches Kaiserreich";"Imperio Alemán";"Германская империя";"Cesarstwo Niemieckie";"Německé impérium";"Alman İmparatorluğu";"德\t意\t志\t帝\t国";"ドイツ\t帝国";"Império Alemão";"Німецька імперія";"Nemačka Imperija";"Német Birodalom";"독일 제국";"Нямецкая імперыя ";"German Empire";"德\t意\t志\t帝\t國";"German Empire";"Đế chế Đức";;
"country_germany_empire";"German Empire";"Empire allemand";"Impero Tedesco";"Deutsches Kaiserreich";"Imperio Alemán";"Германская империя";"Cesarstwo Niemieckie";"Německé impérium";"Alman İmparatorluğu";"德\t意\t志\t帝\t国";"ドイツ\t帝国";"Império Alemão";"Німецька імперія";"German Empire";"German Empire";"독일 제국";"Германская империя";"German Empire";"德\t意\t志\t帝\t國";"German Empire";"Đế chế Đức";;
"country_germany_weimar_republic";"German Republic";"République de Weimar";"Repubblica di Weimar";"Weimarer Republik";"República de Weimar";"Веймарская республика";"Republika Weimarska";"Výmarská republika";"Weimar Cumhuriyeti";"魏\t玛\t共\t和\t国";"ヴァイマル\t共和政";"República de Weimar";"Веймарська республіка";"Vajmarska Republika";"Weimari Köztársaság";"바이마르 공화국";"Веймарская Рэспубліка";"Weimar Republic";"威\t瑪\t共\t和\t國";"Weimar Republic";"Cộng hòa Weimar";;
"country_pkg6";"Ponyland";"Ponyland";"Ponilandia";"Ponyland";"Ponilandia";"Пониланд";"Kucykolandia";"Říše poníků";"Ponyland";"小\t马\t国";"ポニーランド";"Ponyland";"Поніленд";"Zemlja Ponija";"Póniország";"포니랜드";"Поніландыя";"Țara poneilor";"小\t馬\t國";"小\t马\t国";"Ponyland";;
"country_switzerland";"Switzerland";"Suisse";"Svizzera";"Schweiz";"Suiza";"Швейцария";"Szwajcaria";"Švýcarsko";"İsviçre";"瑞\t士";"スイス";"Suíça";"Швейцарія";"Švajcarska";"Svájc";"스위스";"Швейцарыя";"Switzerland";"瑞\t士";"Switzerland";"Thuỵ Sỹ";;
"country_india";"India";"Inde";"India";"Indien";"India";"Индия";"Indie";"Indie";"Hindistan";"印\t度";"インド";"Índia";"Індія";"Indija";"India";"인도";"Індыя";"India";"印\t度";"India";"Ấn Độ";;
"country_kazakhstan";"Kazakhstan";"Kazakhstan";"Kazakhstan";"Kasachstan";"Kazajistán";"Казахстан";"Kazachstan";"Kazachstán";"Kazakistan";"哈\t萨\t克\t斯\t坦";"カザフスタン";"Cazaquistão";"Казахстан";"Kazahstan";"Kazahsztán";"카자흐스탄";"Казахстан";"Kazakhstan";"哈\t薩\t克\t斯\t坦";"Kazakhstan";"Kazakhstan";;
"country_lithuania";"Lithuania";"Lituanie";"Lituania";"Litauen";"Lituania";"Литва";"Litwa";"Litva";"Litvanya";"立\t陶\t宛";"リトアニア";"Lituânia";"Литва";"Litvanija";"Litvánia";"리투아니아";"Літва";"Lithuania";"立\t陶\t宛";"Lithuania";"Lithuania";;
"country_oman";"Oman";"Oman";"Oman";"Oman";"Omán";"Оман";"Oman";"Omán";"Umman";"阿\t曼";"オマーン";"Omã";"Оман";"Oman";"Omán";"오만";"Аман";"Oman";"阿\t曼";"Oman";"Oman";;
"country_denmark";"Denmark";"Danemark";"Danimarca";"Dänemark";"Dinamarca";"Дания";"Dania";"Dánsko";"Danimarka";"丹\t麦";"デンマーク";"Dinamarca";"Данія";"Denmark";"Denmark";"덴마크";"Данія";"Denmark";"丹\t麥";"Denmark";"Đan Mạch";;
"country_kuwait";"Kuwait";"Koweït";"Kuwait";"Kuwait";"Kuwait";"Кувейт";"Kuwejt";"Kuvajt";"Kuveyt";"科\t威\t特";"クウェート";"Kuwait";"Кувейт";"Kuwait";"Kuwait";"쿠웨이트";"Кувейт";"Kuwait";"科\t威\t特";"Kuwait";"Kuwait";;
"country_iran";"Iran";"Iran";"Iran";"Iran";"Irán";"Иран";"Iran";"Írán";"İran";"伊\t朗";"イラン";"Irã";"Іран";"Iran";"Iran";"이란";"Іран";"Iran";"伊\t朗";"Iran";"Iran";;
"country_colombia";"Colombia";"Colombie";"Colombia";"Kolumbien";"Colombia";"Колумбия";"Kolumbia";"Kolumbie";"Kolombiya";"哥\t伦\t比\t亚";"コロンビア";"Colômbia";"Колумбія";"Colombia";"Colombia";"콜롬비아";"Колумбия";"Colombia";"哥\t倫\t比\t亞";"Colombia";"Colombia";;
"country_triple_entente";"Triple Entente";"Triple Entente";"Triplice Intesa";"Triple Entente";"Triple Entente";"Антанта";"Ententa";"Trojdohoda";"Üçlü İttifak";"协\t约\t国";"三国協商";"Tríplice Entente";"Антанта";"Triple Entente";"Triple Entente";"협상국";"Антанта";"Triple Entente";"協\t約\t國";"Triple Entente";"Hiệp ước Ba bên";;
"country_indonesia";"Indonesia";"Indonésie";"Indonesia";"Indonesien";"Indonesia";"Индонезия";"Indonezja";"Indonésie";"Endonezya";"印\t度\t尼\t西\t亚";"インドネシア";"Indonésia";"Індонезія";"Indonesia";"Indonesia";"인도네시아";"Индонезия";"Indonesia";"印\t度\t尼\t西\t亞";"Indonesia";"Indonesia";;
"country_south_vietnam_navy";"Republic of Vietnam Navy";"Marine de la République du Vietnam";"Marina della Repubblica del Vietnam";"Marine der Vietnamesischen Republik";"Armada de la República de Vietnam";"ВМС Республики Вьетнам";"Marynarka Wojenna Wietnamu Południowego";"Námořnictvo Vietnamské republiky";"Vietnam Cumhuriyeti Donanması";"越\t南\t共\t和\t国\t海\t军";"ベトナム\t共和国海軍";"Marinha da República do Vietnã";"Флот В'єтнамської Республіки";"Republic of Vietnam Navy";"Vietnámi Köztársaság haditengerészete";"베트남 공화국 해군";"ВМС Рэспублікі В'етнам";"Republic of Vietnam Navy";"越\t南\t共\t和\t國\t海\t軍";"Republic of Vietnam Navy";"Hải quân Việt Nam cộng hòa";;
"country_sweden";"Sweden";"République de Chine";"Repubblica Cinese";"Republik Sweden";"República de Sweden";"Китайская Республика";"Republika Chińska";"Republika Čína";"Çin Cumhuriyeti";"中\t国";"中華民国";"República da Sweden";"Китайська Республіка";"Republika Kina ";"Kínai Köztársaság";"중화민국";"Кітайская Рэспубліка";"Republic Sweden";"中\t華\t民\t國";"Republic Sweden";"Trung Hoa Dân Quốc";;
"country_israel";"Israel";"République de Chine";"Repubblica Cinese";"Republik Israel";"República de Israel";"Китайская Республика";"Republika Chińska";"Republika Čína";"Çin Cumhuriyeti";"中\t国";"中華民国";"República da Israel";"Китайська Республіка";"Republika Kina ";"Kínai Köztársaság";"중화민국";"Кітайская Рэспубліка";"Republic Israel";"中\t華\t民\t國";"Republic Israel";"Trung Hoa Dân Quốc";;
