"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"weapons/150mm_Type_38_user_cannon";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";"Type 38 150mm Howitzer";;
"weapons/120mm_Schneider_Canet_1898_user_cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";"Sca-type 120mm Cannon";;
"weapons/20mm_Type98_user_cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";"Type 98 20mm Cannon";;
"weapons/70mm_Type94_user_cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";"Type 94 70mm Cannon";;
"weapons/47mm_Type1_user_cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";"Type 1 47mm Cannon";;
"weapons/7_7mm_Type_97_user_machinegun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";"Type 97 7.7mm Heavy Machine Gun";;
"weapons/66mm_uk_smoke_grenade_launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";"66mm Smoke Grenade Launcher";;
"weapons/66mm_uk_smoke_grenade_launcher/short";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";;
"76mm_smoke_grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";;
"weapons/counter";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";;
"weapons/counter/left/short";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";" %dx";;
"weapons/counter/right/short";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";" x%d";;
"weapons/6_5mm_Type_91_user_machinegun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";"Type 91 6.5mm Light Machine Gun";;
"weapons/75mm_Type3_user_cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";"Type 3 75mm Cannon";;
"weapons/75mm_Type4_user_cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";"Type 4 75mm Cannon";;
"weapons/75mm_Type5_user_cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";"Type 5 75mm Cannon";;
"weapons/120mm_10th_Year_type_user_cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";;
"weapons/120mm_45_10th_year_type_naval_user_cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";"10th Year Type 12cm/45 Cannon";;
"weapons/12_7mm_M2_HB_user_machinegun";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";;
"weapons/12_7mm_M2_HB_user_machinegun_for_M15";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";;
"weapons/12_7mm_M2_HB_user_machinegun_for_leclerc";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";"Mitrailleuse de 12.7mm Modèle M2 HB";;
"weapons/12_7mm_sMG_50_user_machinegun";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";"Machine Gun, Caliber .50, M2, HB";;
"weapons/120mm_Navy_Short_Gun_user_cannon";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";"Experimental 12cm/12 Short Gun";;
"weapons/75mm_M6_user_cannon";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";"Cannon, 75mm Gun, M6";;
"weapons/50mm_uk_smoke_mortar_launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";"50mm Smoke Grenade Launcher";;
"weapons/50mm_uk_smoke_mortar_launcher/short";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";;
"smoke_grenade_tank/name";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";"Smoke Grenade";;
"smoke_tank/name";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";"Smoke Shell";;
"smoke_grenade_tank/name/short";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";;
"smoke_tank/name/short";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";"Smoke";;
"weapons/7_62mm_M1919A4_user_machinegun";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";"Machine Gun, Caliber .30, M1919A4";;
"weapons/76mm_M1_no_MB_user_cannon";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";;
"weapons/76mm_M1_open_turret_no_MB_user_cannon";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";;
"weapons/76mm_M1_open_turret_user_cannon";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";"Cannon, 76mm Gun, M1";;
