"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"m16a4_0";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";"Rifle, Caliber 5.56x45mm, M16A4";;
"m16a4_1";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";"M16A4";;
"m16a4_2";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";"Assault Rifle";;
"m249_para_shop";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";;
"m249_para_0";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";"Light Machine Gun, 5.56x45mm, M249 Paratrooper";;
"m249_para_1";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";"M249 Para";;
"m249_para_2";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";;
"m4a1_shop";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";;
"m4a1_0";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";"Carbine, Caliber 5.56x45mm, M4A1";;
"m4a1_1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";"M4A1";;
"m4a1_2";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";"Carbine";;
"mac_11_shop";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";;
"mac_11_0";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";"Military Armament Corporation Ingram Model 11";;
"mac_11_1";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";"MAC-11";;
"mac_11_2";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";"Submachine Gun";;
"mcmillan_tac_50_shop";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";;
"mcmillan_tac_50_0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";"Rifle, Caliber 12.7×99mm, Special Applications Sniper Rifle, Mk.15 Mod.0";;
"mcmillan_tac_50_1";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";"Mk.15 Mod.0";;
"mcmillan_tac_50_2";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";"Anti-Materiel Rifle";;
"mk_14_ebr_shop";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";;
"mk_14_ebr_0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";"Rifle, Caliber 7.62x51mm, Enhanced Battle Rifle, Mk.14 Mod.0";;
"mk_14_ebr_1";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";"Mk.14 Mod.0";;
"mk_14_ebr_2";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";"Designated Marksman Rifle";;
"mk_48_shop";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";;
"mk_48_0";"Light Machine Gun, Caliber 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";"Light Machine Gun, 7.62x51mm, Mk.48 Mod.0";;
"mk_48_1";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";"Mk.48 Mod.0";;
"mk_48_2";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";"Light Machine Gun";;
"sig_xm250_shop";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";;
"sig_xm250_0";"Light Machine Gun, Caliber 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";"Light Machine Gun, 6.8×51mm, M250";;
"sig_xm250_1";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";"M250";;
