"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>";
"attachables/g36k";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";"G36K";;;
"attachables/g36k/desc";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";"Gewehr 36 Kurz 5.56mm";;;
"attachables/g36k_ag";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";"G36K (AG40-2)";;;
"attachables/g36k_ag/desc";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";"Gewehr 36 Kurz 5.56mm (Anbau Granatwerfer 36 40mm)";;;
"attachables/famas_f1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";"FA-MAS F1";;;
"attachables/famas_f1/desc";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";"Fusil d'Assaut de la Manufacture d'Armes de Saint-Étienne F1 5.56mm";;;
"attachables/cn_qbz_95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";"QBZ-95";;;
"attachables/cn_qbz_95/desc";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";"Light Weapon, Rifle, Automatic, 95";;;
"attachables/cn_qbz_95_ag";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";"QBZ-95 (QLG-91B)";;;
"attachables/cn_qbz_95_ag/desc";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";"Light Weapon, Rifle, Automatic, 95 (Light Weapon, Grenade, Mounted, 91B)";;;
"attachables/cetme_mod_lc";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";"Cetme LC";;;
"attachables/cetme_mod_lc/desc";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";"Fusil de Asalto Cetme Modelo LC 5.56mm";;;
"attachables/aps";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";"APS";;;
"attachables/aps/desc";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";"Avtomat Podvodny Spetsialnyy";;;
"attachables/aks_74u";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";"AKS-74U";;;
