"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"title/esport_fan_leet";"LEET Team Fan";"Fan de l'équipe LEET";"Fan Team LEET";"LEET Team Fan";"Fan del Equipo LEET";"Фанат LEET Team";"Fan LEET Team";"Fanoušek týmu LEET";"LEET Takımı Hayranı";"LEET 战\t队\t粉\t丝";"LEET Team Fan";"LEET Team Fan";"Фан команди «LEET»";"LEET Team Fan";"LEET Team Fan";"LEET Team 팬";"Фанат LEET Team";"LEET Team Fan";"LEET Team Fan";"LEET Team Fan";"Fan Đội LEET";;
"title_esport_fan_leet/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LEET pack";;
"title/esport_fan_letsgo";"LetsGo Team Fan";"Fan de l'équipe LetsGo";"Fan Team LetsGo";"LetsGo Team Fan";"Fan del Equipo LetsGo";"Фанат LetsGo Team";"Fan LetsGo Team";"Fanoušek týmu LetsGo";"LetsGo Takımı Hayranı";"LetsGo 战\t队\t粉\t丝";"LetsGo Team Fan";"LetsGo Team Fan";"Фан команди «LetsGo»";"LetsGo Team Fan";"LetsGo Team Fan";"LetsGo Team 팬";"Фанат LetsGo Team";"LetsGo Team Fan";"LetsGo Team Fan";"LetsGo Team Fan";"Fan Đội LetsGo";;
"title_esport_fan_letsgo/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team LetsGo pack";;
"title/esport_fan_rawr";"RAWR Team Fan";"Fan de l'équipe RAWR";"Fan Team RAWR";"RAWR Team Fan";"Fan del Equipo RAWR";"Фанат RAWR Team";"Fan RAWR Team";"Fanoušek týmu RAWR";"RAWR Takımı Hayranı";"RAWR 战\t队\t粉\t丝";"RAWR Team Fan";"RAWR Team Fan";"Фан команди «RAWR»";"RAWR Team Fan";"RAWR Team Fan";"RAWR Team 팬";"Фанат RAWR Team";"RAWR Team Fan";"RAWR Team Fan";"RAWR Team Fan";"Fan Đội RAWR";;
"title_esport_fan_rawr/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team RAWR pack";;
"title/esport_fan_restart";"Restart Team Fan";"Fan de l'équipe Restart";"Fan Team Restart";"Restart Team Fan";"Fan del Equipo Restart";"Фанат Restart Team";"Fan Restart Team";"Fanoušek týmz Restart";"Restart Takımı Hayranı";"Restart 战\t队\t粉\t丝";"Restart Team Fan";"Restart Team Fan";"Фан команди «Restart»";"Restart Team Fan";"Restart Team Fan";"Restart Team 팬";"Фанат Restart Team";"Restart Team Fan";"Restart Team Fan";"Restart Team Fan";"Fan Đội Restart";;
"title_esport_fan_restart/desc";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";"<color=#CCA43B>Awarded for:</color> Obtaining the 2026 ""Thunder CUP"" team Restart pack";;
"title/mustache_general";"Moustached";"Moustachu";"Baffuto";"Schnautzbärtig";"Bigotudo";"Усатый";"Wąsaty";"Moustached";"Bıyıklı";"我\t有\t胡\t子";"Moustached";"Bigodudo";"Вусатий";"Brkati";"Bajszos";"콧수염 신사";"Вусаты";"Moustached";"我\t有\t鬍\t子";"Moustached";"Râu Rậm";;
"title_mustache_general/desc";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";"<color=#CCA43B>Awarded for:</color> Voting for one of the top 3 teams in the 2015 ""Thunder League""";;
"title/thunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Лига Грома";"Thunder League";"Thunder liga";"Thunder League";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder League";"썬더 리그";"Ліга Грому";"Thunder League";"雷\t霆\t聯\t賽";"Thunder League";"Thunder League";;
