"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"loading/aircraft/tip2";"A Barrel Roll isn't the same as an Aileron Roll.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";;
"loading/aircraft/newbie/tip3";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";"Every call out that can be misunderstood, will be.";;
"loading/aircraft/newbie/tip4";"Friendly fire isn't.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";"Use the Target Camera {{ID_TARGET_CAMERA}}.";;
"loading/aircraft/newbie/tip5";"Mother Nature isn't neutral.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";"You can control the gunners on some aircraft. Switch between available positions with the Switch Camera button {{ID_TOGGLE_VIEW}}.";;
"loading/aircraft/newbie/tip6";"Airspeed is life. Altitude is insurance.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";"Always try to have an altitude advantage over your opponent.";;
"loading/aircraft/newbie/tip7";"As the nose cones are fully interchangeable and often were, the only way to possitively identify if something is an A-26B or A-26C is to look at the serial number.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";"You are a more difficult target to hit when flying at tree-top level.";;
"loading/aircraft/newbie/tip8";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";"While the F-2A looks similar to the F-16, there is less then 5% commonality between their design drawings.";;
"loading/aircraft/newbie/tip9";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";"It's my mental illness so I get to choose the coping mechanism.";;

"loading/aircraft/newbie/tip13";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";"When a missile is off the rail, it's nobodies friend.";;

"loading/aircraft/newbie/tip15";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";"Smart bombs have bad days too.";;
"loading/aircraft/tip16";"The F-15D Baz «957» that landed after losing a wing, was repaired and shared a MiG-23 kill in 1985.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";"An aircraft can fly with critical damage, even with only half a wing. You can read more about this in the Encyclopedia.";;
"loading/aircraft/newbie/tip17";"Early Spitfire models used a carburettor instead of a fuel injection system causing the engine to suffer from fuel starvation, this was only resolved with the introduction of the Spitfire V.";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";"Watch your altitude carefully, especially when performing maneuvers!";;

"loading/aircraft/tip22";"Even though the USN retired the F-14A in 2004, the Iranian Air Force still has them in service over 20 years later.";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";"Crashed... for good luck!";;
"loading/aircraft/tip23";"During the development of the G.1 there was a competition within Fokker that awarded the winning design a chocolate bar for every machine gun that could be mounted in the nose, the winner walked away with 8 chocolate bars.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";"A big ship needs a big torpedo.";;

"loading/aircraft/tip29";"Never fly the ""A"" model of anything.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";"For a good pilot, any weather is acceptable.";;
"loading/aircraft/tip30";"Any landing you can walk away from is a good one.";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";"The aircraft is on the ground, and the pilot’s alive. A successful landing!";;

"loading/aircraft/tip37";"The F-16 is the most widely operated fighter jet to date, having seen service with over 27 different nations.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";"A bad pilot can’t even handle a steering column.";;

