"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"12mm_usa_M2HB_APIT_navy";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";;
"12mm_usa_M2HB_APIT_navy/name";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";"12.7mm APIT belt";;
"12mm_usa_M2HB_APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";;
"12mm_usa_M2HB_APIT/name";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";"APIT";;
"12mm_ussr_dshk_AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"12mm_ussr_dshk_AP/name";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";"AP";;
"12mm_ussr_dshk_API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
"12mm_ussr_dshk_API/name";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
"12mm_ussr_dshk_APIT";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"12mm_ussr_dshk_APIT/name";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";"API-T";;
"12mm_vickers_mk5_API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
"12mm_vickers_mk5_API/name";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";"API";;
"12mm_vickers_mk5_navy_API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";;
"12mm_vickers_mk5_navy_API/name";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";"12.7mm API";;
"12mm_vickers_mk5_navy_HEI";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";;
"12mm_vickers_mk5_navy_HEI/name";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";"12.7mm I";;
"13mm_type93_naval_apt_ammo_pack";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";;
"13mm_type93_naval_apt_ammo_pack/name";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";;
"13mm_type93_naval_apt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";;
"13mm_type93_naval_apt/name";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";"13mm APT belt";;
"13mm_type93_naval_heit_ammo_pack";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";;
"13mm_type93_naval_heit_ammo_pack/name";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";;
"13mm_type93_naval_heit";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";;
"13mm_type93_naval_heit/name";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";"13mm HEIT belt";;
"15mm_ger_ap_navy";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";;
"15mm_ger_ap_navy/name";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";"15mm APIT belts";;
"15mm_ger_he_navy";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";;
"15mm_ger_he_navy/name";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";"15mm HEIT belts";;
"20mm_ger_c38_navy_ap";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";;
"20mm_ger_c38_navy_ap/name";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";"20mm APT magazines";;
"20mm_ger_c38_navy_he";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";;
"20mm_ger_c38_navy_he/name";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";"20mm HET magazines";;
"20mm_ger_flak38_AP";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";;
"20mm_ger_flak38_AP/name";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";"20mm AP magazines";;
"20mm_ger_flak38_HE";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";;
"20mm_ger_flak38_HE/name";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";"20mm HE magazines";;
"20mm_ger_kwk30_AP";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";;
"20mm_ger_kwk30_AP/name";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";"PzGr.";;
"20mm_ger_kwk30_APCR";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";"Pzgr.40 (Hk)";;
"20mm_ger_kwk30_APCR/name";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";"2cm Pzgr.40 (Hk)";;
"20mm_ger_kwk30_HE";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";;
"20mm_ger_kwk30_HE/name";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";"Sprgr.";;
"20mm_ger_mg151_20_navy_ap";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";;
"20mm_ger_mg151_20_navy_ap/name";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";;
"20mm_ger_mg151_20_navy_he";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";;
"20mm_ger_mg151_20_navy_he/name";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";"20mm HE belts";;
"20mm_it_breda_ap";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";"20mm AP belts";;
